-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-6.12781E-4,0.00969284;1.0,-0.0726963222734557,0.0
-0.00306685,0.00927513;1.0,-0.06956358167037166,0.0
0.781367,0.00942868;1.0,-0.07068747277722916,0.0
1.77578,0.00942725;1.0,-0.07064159729248125,0.0
2.86411,0.0094878;1.0,-0.0710565971142825,0.0
3.94921,0.00944346;1.0,-0.07068609672500026,0.0
4.98075,0.00948161;1.0,-0.07093497926622187,0.0
5.94505,0.00951832;1.0,-0.07117519916881501,0.0
6.90127,0.00961798;1.0,-0.07188593896187025,0.0
7.63696,0.00971478;1.0,-0.07258263230149199,0.0
8.13232,0.0100118;1.0,-0.07478317814484,0.0
8.38812,0.0103576;1.0,-0.07735619703108002,0.0
8.70087,0.0106246;1.0,-0.07933783776224249,0.0
8.94839,0.0108558;1.0,-0.0810542177543925,0.0
9.17318,0.0110504;1.0,-0.08249787259398002,0.0
9.3869,0.0113031;1.0,-0.0843753709897875,0.0
